College,Course Code,Course Name
COE - College Of Engineering,DCET,Diploma In Chemical Engineering Technology
COE - College Of Engineering,BSCERE,Bachelor Of Science In Ceramic Engineering
COE - College Of Engineering,BSCE,Bachelor Of Science In Civil Engineering
COE - College Of Engineering,BSEE,Bachelor Of Science In Electrical Engineering
COE - College Of Engineering,BSME,Bachelor Of Science In Mechanical Engineering
COE - College Of Engineering,BSCHE,Bachelor Of Science In Chemical Engineering
COE - College Of Engineering,BSMETE,Bachelor Of Science In Metallurgical Engineering
COE - College Of Engineering,BSCPE,Bachelor Of Science In Computer Engineering
COE - College Of Engineering,BSMINE,Bachelor Of Science In Mining Engineering
COE - College Of Engineering,BSECE,Bachelor Of Science In Electronics & Communications Engineering
COE - College Of Engineering,BSENET,Bachelor Of Science In Environmental Engineering
CSM - College Of Science And Mathematics,BSBIO-BOT,Bachelor Of Science In Biology (Botany)
CSM - College Of Science And Mathematics,BSCHEM,Bachelor Of Science In Chemistry
CSM - College Of Science And Mathematics,BSMATH,Bachelor Of Science In Mathematics
CSM - College Of Science And Mathematics,BSPHYS,Bachelor Of Science In Physics
CSM - College Of Science And Mathematics,BSBIO-ZOO,Bachelor Of Science In Biology (Zoology)
CSM - College Of Science And Mathematics,BSBIO-MAR,Bachelor Of Science In Biology (Marine)
CSM - College Of Science And Mathematics,BSBIO-GEN,Bachelor Of Science In Biology (General)
CSM - College Of Science And Mathematics,BSSTAT,Bachelor Of Science In Statistics
CCS - College Of Computer Studies,BSCS,Bachelor Of Science In Computer Science
CCS - College Of Computer Studies,BSIS,Bachelor Of Science In Information Systems
CCS - College Of Computer Studies,BSCA,Bachelor Of Science In Computer Application
CCS - College Of Computer Studies,BSIT,Bachelor Of Science In Information Technology
CED - College Of Education,BEED-SCIMATH,Bachelor Of Elementary Education (Science And Mathematics)
CED - College Of Education,BEED-LANG,Bachelor Of Elementary Education (Language Education)
CED - College Of Education,BSED-BIO,Bachelor Of Secondary Education (Biology)
CED - College Of Education,BSED-CHEM,Bachelor Of Secondary Education (Chemistry)
CED - College Of Education,BSED-PHYS,Bachelor Of Secondary Education (Physics)
CED - College Of Education,BSED-MATH,Bachelor Of Secondary Education (Mathematics)
CED - College Of Education,BPED,Bachelor Of Physical Education
CED - College Of Education,BTLED-HE,Bachelor Of Technology And Livelihood Education (Home Economics)
CED - College Of Education,BTLED-IA,Bachelor Of Technology And Livelihood Education (Industrial Arts)
CED - College Of Education,BTVTED-DT,Bachelor Of Technical-Vocational Teacher Education (Drafting Technology)
CASS - College Of Arts And Social Sciences,BA-ELS,Bachelor Of Arts In English Language Studies
CASS - College Of Arts And Social Sciences,BA-LCS,Bachelor Of Arts In Literary And Cultural Studies
CASS - College Of Arts And Social Sciences,BA-FIL,Bachelor Of Arts In Filipino
CASS - College Of Arts And Social Sciences,BA-PAN,Bachelor Of Arts In Panitikan
CASS - College Of Arts And Social Sciences,BA-POLSCI,Bachelor Of Arts In Political Science
CASS - College Of Arts And Social Sciences,BA-PSY,Bachelor Of Arts In Psychology
CASS - College Of Arts And Social Sciences,BA-SOC,Bachelor Of Arts In Sociology
CASS - College Of Arts And Social Sciences,BA-HIS-IH,Bachelor Of Arts In History (International History Track)
CASS - College Of Arts And Social Sciences,BS-PHIL-AE,Bachelor Of Science In Philosophy
CASS - College Of Arts And Social Sciences,BS-PSY,Bachelor Of Science In Psychology
CEBA - College Of Economics Business And Accountancy,BS-ACC,Bachelor Of Science In Accountancy
CEBA - College Of Economics Business And Accountancy,BSBA-BE,Bachelor Of Science In Business Administration (Business Economics)
CEBA - College Of Economics Business And Accountancy,BSBA-MM,Bachelor Of Science In Business Administration (Marketing Management)
CEBA - College Of Economics Business And Accountancy,BS-ENT,Bachelor Of Science In Entrepreneurship
CEBA - College Of Economics Business And Accountancy,BSHM,Bachelor Of Science In Hospitality Management
CHS - College Of Health Sciences,BSN,Bachelor Of Science In Nursing
